id;Title_1;Content_1;Title_2;Content_2;Label
409;Error are not reported due to thisconnected call;"Due to the fact that the
thiserrorNum int mysqlerrnothisconnection
thiserrorMsg string mysqlerrorthisconnection . ' SQL' . query
was after the call to if thisconnected
then the error message was empty because it contains the result of the thisconnected call.
See bugtracker 
httpjoomlacode.orggfprojectjoomlatrackeractionTrackerItemEdittrackeridtrackeritemid";Fixing error message in Mysql driver;This is a copy of but this time against master. See the original pull request for more details.;1
410;Menu manager pagination broken in .. beta;"Simple fix for .
A copy of the original issue description

Steps to reproduce the issue
Install Joomla .. beta
Open AdministratorMenusMain menu
Add at least new menu items
Change limit dropdown to 
Open search tools select Published.
Change to page everything ok.
Change back to page everything ok.
Open search tools again select Select status.
Try going to page again.
Expected result
Page shown
Actual result
Page shown again
Additional comments
Please note that this is using .. beta so the changes regarding pagination included here do not fix this problem.

For details see that issue.";Fix pagination in user components and comusers with enabled filters;"Sometimes pagination in JModelList dont work. Usually it happens when you are on first page and has no active filters if it present in frontend. Reason that list.start state is cleared in populateState method.
Second commit fix pagination in users list comusers when you activate some filters.";1
411;Correct spelling;"Summary of Changes
The word information is incorrectly spelled.
Testing Instructions
Check the diff against a dictionary to ensure the correct spelling is used 
Documentation Changes Required
NA";Lang string typo;Simple correction.;1
412;Fix error message is not displayed in comconfig;"While building a custom JFormRule to validate the options in my custom component's configuration I realize that the rule's error message is not displayed after redirecting back to the configuration form.
class JFormRuleFoo extends JFormRule

 public function testSimpleXMLElement element value group null JRegistry input null JForm form null

 Validation fails enqueue error message it must be displayed when we are taken back to the form.
 JFactorygetApplicationenqueueMessageJText'Validation fails' 'warning'
 return false



But if we try to go to somewhere else
JFactorygetApplicationenqueueMessageJText'test' 'warning'
JFactorygetApplicationredirect'index.php'

Then the message is displayed as usual.
The problem is in httpsgithub.comjoomlajoomlacmsblobstagingcomponentscomconfigmodelform.phpL
It should be
foreach formgetErrors as message

 if message instanceof Exception
 
 JFactorygetApplicationenqueueMessagemessagegetMessage 'error'
 
 else
 
 JFactorygetApplicationenqueueMessagemessage 'error'
 
";Config doesn't output error message when we have a required field PHP validation not JS;"This is the same fix as here except that in the old pull request I've somehow screwed it up...
When I originally fixed this issue the configuration didn't have Javascript validation. That is why I was able to run into this. Right now the config has a javascript validation and we can only run into the issue when we turn it off. But despite the fact that we can't run into the issue when js validation is on it doesn't change the fact that the php code is wrong.
Testing instructions
First we need to disable the javascript validation. Go to
administrator\components\comconfig\view\component\tmpl\default.php
comment out line . At the end your code should look like this
Joomla.submitbutton functiontask
 
 if task config.cancel.component || document.formvalidator.isValiddocument.getElementByIdcomponentform
 
 Joomla.submitformtask document.getElementByIdcomponentform
 
 

After that test it with CMandrill
First download CMandrill from
httpscompojoom.comdownloadsofficialreleasesstablemandrill
then install it. Now go to components CMandrill options. Go to the permissions tab and try to change any permission. Save. The page will refresh without any error message and the permissions that you've applied shouldn't be saved.
Now apply the patch and try to save the config again. This time you'll see the error message.";1
413;comwrapper autoheight error in IE;"fix for 
Original issue description

javascript code in mediacomwrapper should have
document.frames'blockrandom'.document.body.scrollHeight

but not
document.frames'blockrandom'.document.body.scrollHeight

Note that autoheight actually works for IE only.";Resize to the correct height of the iframe;"Summary of Changes
Auto height is broken for the wrapper menu item.
Testing Instructions

Create a wrapper menu item with a local link like demoarticle.
In the advanced options of the wrapper menu item set Auto Height to yes.
Open the wrapper menu item on the front.

Expected result
The iframe is resized that not scrollbars are visible.
Actual result
The iframe doesn't get resized.";1
414;Support collection of custom stats in stats frontend module;"Summary of Changes
Similar to how the backend module triggers an event to add additional items to its output this adds support for the modstats module to do the same.
A new onGetStats event is published with a single parameter a context hardcoded to modstatsadmin and any plugin responding to this event is expected to return an array matching this schema
array
 'title' 'Stats Item Title'
 'data' 'Data to be displayed'
 'icon' 'Optional IcoMoon font icon for the row defaulting to info if not set'

The title and data attributes MUST be defined or a row is not added.
Similar to the quickicons implementation items can NOT be removed via the plugin event.
Testing Instructions
Add the following method to a system plugin
 public function onGetStatscontext
 
 return array
 array
 'title' 'Plays Audio'
 'data' JText'JNO'
 'icon' 'music'
 
 
 
With the admin stats module enabled you should see a new row with this data.
Based on the same thing that mbabker did for the backend 
The weblinks part is moved here httpsgithub.comjoomlaextensionsweblinkspullfiles to be included in the . version.";Add statistics in modstats front end depending on the event onGetStats;"Summary of Changes
I added showing statistics in modstats front end depending on the event onGetStats.
And I deleted the fix way web links counted the stats.
modstatsadmin used the event onGetStats already.
Testing Instructions


Install web links httpsgithub.comjoomlaextensionsweblinksreleases


Create a web link and a menu item for showing the web link per category.


Open frond end and click the web link so stats are collected.


Create a module that shows statistics in frond end and select hit counter. Select a position for this module and show it on all pages.


Navigate to the front page and see that the stats for web links are shown


Navigate to the plugin manager and see that the plugin System Web Links is not active


Apply my patch and see that stats are shown if the plugin is active and they are not shown if the plugin is not active.


Expected result
If the plugin System Web Links is not active there should no stats are shown.
Actual result
Stats are shown in the front end for the component web links independent of the plugin System Web Links.
If another component used the event onGetStats these stats are only shown in the back end module
modstatsadmin and not in the frond end module modstats.";1
415;Code Style Line exceeds characters contains characters;Code Style Line exceeds characters contains characters;Code Style administratorcomponentscombanners;.;1
416;OCI Versions of Oracle Database Driver Iterator and Query Classes;"Pull Request for Issue .
Summary of Changes
Renaming of existing PDO Oracle Driver Iterator and Query classes to pdooracle.php.
Creation of new OCI versions of Oracle Driver Iterator and Query classes which are named oracle.php
This primarily came up because I've been wanting to do some Joomla work that will need to utilize an Oracle database for some data retrieval but PHP 's support for the pdooci extension is not very good and it's unclear whether or not that will improve so in order to better support PHP and things that work well with it it's best that we have an OCI version of the Oracle Driver Iterator and Query classes available.
I'm not sure if the Framework's Database package is being actively maintained but I could submit these changes over there as well too if needed.
Testing Instructions
This is going to be difficult for most since not everybody has an Oracle database available to test with and this would really only apply to the few developers utilizing Joomla in this fashion to connect to external Oracle databases from within their custom extensions inside of a Joomla site.
I almost want to say that it would simply be easiest if the submissions could be reviewed for general correctness but not necessarily for functional correctness due to the difficulty doing so might require.
However generally on Windows with XAMPP and the bit version of the Oracle instant client downloaded and added to the Windows Path it is pretty easy to be able to enable your local PHP install for Oracle support. The next step would be to grab a copy of Oracle's Express Edition and install that onto your local machine or a VM and with the sample database connect to it from within Joomla using something like this I added this code right before the closing body tag in the protostar template of a default Joomla install for testing from my end
options 
 'database' 'TEST'
 'user' 'yourusername'
 'password' 'yourpassword'
 'host' 'localhost'
 'driver' 'oracle'


php oracle JDatabasegetInstanceoptions 
php
 result oracleconnected
 rows oraclegetTableColumns'SOMETABLE' false
 rows oraclegetTableCreate'SOMESCHEMA.SOMETABLE'

 rows oraclegetTableKeys'SOMETABLE'

 rows oraclegetTableListnull true
 rows oraclegetTableList'SOMESCHEMA' true

 rows oraclegetVersion
 oraclesetDateFormat
 oraclesetQuery'SELECT FROM SOMETABLE WHERE SOMEID '

 
 pidm 
 query oraclegetQuerytrue

 queryselect''
 queryfrom'SOMETABLE'
 querywhere'SOMEID someid'

 querybind'someid' someid

 oraclesetQueryquery
 

 oraclesetQuery'SELECT FROM SOMETABLE WHERE SOMEID someid'
 oraclegetQuerybind'someid' someid

 oraclesetQuery'select from SOMETABLE' 

 
 oracletoUpper
 it oraclegetIteratornull 'ArrayObject'

 rows array
 foreachit as row
 
 rows row
 
 

 rows oracleloadObjectList

 affected oraclegetAffectedRows
 numRows oraclegetNumRows

 result oracleconnected
 echo pre
 echo printrrows true
 echo pre


More info on what I've tested so far can be found over on the Issue page and I'm happy to answer questions that might come up too.
I'm pretty sure this initial PR will fail due to code consistency checks so I'll work on correcting those tomorrow morning.
Documentation Changes Required";Use thisconnection null rather than unset;"Pull Request for Issue Use thisconnection null rather than unset
Summary of Changes
unset will undeclare the class member variable we don't want to do that.
replicates framework changes
Testing Instructions
merge by code review
Documentation Changes Required
none";1
417;Pagination user manager when Search Tools present;"Issue
Pagination doesn't work when you select a value in the SearchTools. In the user manager this is for example Activated or the state Enabled. In the Article Manager this would be the state Disabled btw consistency ftw.
See for the original issue
Solution
I tried to fix that originally with but did a stupid mistake. Of course is a valid filter value but my boolean check would take that as an invalid value.
This PR fixes it by only threating an empty string nothing selected as invalid.
Testing
Test that the pagination the managers with Search Tools work with any values. Also test that it still works in Hathor and modal layouts.
Known issue so far
The Groups filter in the user manager still acts wrong. I haven't found yet why that is. maybe someone has an idea.";fixed pagination issue after applying serch tools filter in use?Çª;fixed pagination issue after applying serch tools filter in users list at Joomla administrator side.;1
418;combanners Fix;"Thanks joomdonation for the fix.
Pull Request for Issue .
Testing Instructions
Switch to Hathor style.
Go to Components Banners Clients.
Edit a client.
Actual result
No more warnings.";hathor combanners client;"Before this PR the client view will not work at all with the following error
Call to a member function get on null";1
419;The sidebar arrow jumps fix;;Isis fix for safari bug;"This is a redo of but without introducing BS affix
Should work with all browsers but the idea here is to fix and safari rubber band effect that messes up the buttons
Testing
Use safari as your browser
apply this PR
try pages with long lists and observe if toolbar buttons are correctly rendered";1
420;Ensure the session close method is called instead to e?Çª;"Ensure the session close method is called instead to ensure that sessionwriteclose is called before redirect
Before this change we called the applications close method which was just a exit command the sessions close method has more specific code to base encode and write the session explicitly with sessionwriteclose so doing this on the redirect should fix any session write lag issues as per the PHP comments section and 
See PHP.net httpphp.netmanualenfunction.sessionwriteclose.php comments
Its VERY VERY hard to replicate unless you have a crap webhost and slow session saving
To test just edit some articles on the frontend nothing should be broken.
Closes";Graceful recovery for issue You are not permitted to use that link to directly access ...;"Add some faulttolerance to the system and recalculate edit permission also checking out the record
CASE The initial edittask failed to update session properly due to raceconditions
CASE The initial edittask was never called because the HTTP request was cached by the browser for any reason
See issue here for a detailed discussion 
NOTE
rd party extensions that extend JControllerLegacy need to reimplement this

if they need to pass to allowEdit more than just idNNN

Maybe best solution would be instatiate the view inside the controller add edit task

but this means that all tasks would need to redirect to the edit task instead of the view ... e.g. the 'apply' task etc which is a major BC break so i did not make such a PR 
if you do not like something this PR then please comment and help fix improve it

Testing
Try adding this to your .htaccess to force browser caching of the requests that try to add articlerecord iseditable into the sessions NOTE the bad effects for the effected URLs will persist for an hour so do not add more to it
ExpiresDefault now plus hour";1
421;loadmodule breaking the output of article category module;"Summary of Changes
The function ModArticlesCategoryHelpertruncate uses JHtmlStringtruncateComplex instead of JHtmlStringtruncate
Testing Instructions
Follow the instruction in the issue .
Expected result
Actual result
Apply this PR";fix a bug when truncate splits within a tag;"Pull Request for Issue .
Summary of Changes
Check if the cut is within a tag
Testing Instructions
see or";1
422;update to phpass .;"Pull Request for Issue new version of phpass .
Summary of Changes
Update to current version of phpass found at httpcvsweb.openwall.comcgicvsweb.cgiprojectsphpassPasswordHash.phpr.rev.
additional release note information in the official announcment
httpwww.openwall.comlistsannounce

Dropped PHP support in favor of PHP friendliness no deprecation warnings. Specifically

Added the newphpstyle constructor.


Just assume md supports a second argument which it does since PHP .
Use the and comparison operators.
While at it dropped the fallback to CRYPTEXTDES if there's no working CRYPTBLOWFISH fallback to the portable hashes right away.

Testing Instructions
unit tests pass code review
Documentation Changes Required
none
Note
Remember within Joomla this is only used to verify then migrate old passwords to the new hashing methods.
CC mbabker wilsonge rdeutz";Upgrade PHPPass to v.;"Pull Request for Issue 
Upgrade PHPPass to v.
Steps to reproduce the issue
Run unit tests in PHP . see httpstravisci.orgjoomlajoomlacmsjobs
Expected result
No warnings
Actual result
PHP Deprecated Methods with the same name as their class will not be constructors in a future version of PHP PasswordHash has a deprecated constructor in hometravisbuildjoomlajoomlacmslibrariesphpassPasswordHash.php on line";1
423;Simplified spaghetti code;Removed duplicated code;Fix undefined variable skin and minimize code in TinyMCE;"This fixes two things

First undefined variable skins in the switch cases at the end of this method when isSite and isAdmin both fails please don't say this can't happen.
Second minimize the code by providing fallback value once.";1
424;email cloaking kills email value of input field;"Solved issue from 
The issue
The plugin kills the email value of an input field when ohter inputs of the form don't validate.
Expected result

Defect result
input value
The solution
The issue are solved in steps

Before the email cloaker comes into action all form script image picture and noemailcloak tags will be extracted from the content.
Extracted elements with numbered placeholders like formelement formelement ... formelementn are replaced.
The email cloaker comes into action.
Eventually the numbered placeholders with the extracted elements in step are replaced.
The file of the email cloaker is located at .pluginscontentemailcloakemailcloak.php . The function wich extracted the formelements calls extractFormElements And the function which inserts the extracted elements into the content calls insertFormElements

How to test
Create a new Content. Put in the Content an inputfield with valueÆemailexample.orgÆ attribute like

And Save this Content. Then navigate to the Content like a visitor.
With the old emailcloaker the emailcloaker will distroy the htmlstructure.
Then load the pull request and opend the same Content.
Expected Result after solution
The htmlstructure is still correct. The email in the inputfield is shown.
Worked as a group on that issue icampus FPerisa Flow and kathastaden";Email Cloaking plugin corrupts HTML;"The plugin ôContent Email Cloakingö under some circumstances corrupts the HTML of the processed content.
The use of email addresses within attributes of HTML tags is legitimate in the HTML code of a Joomla article.
Chances are high this actually happens when users include any kind of modules within articles using the ôContent Load Modulesö plugin now used more than ever due to the new editor button ôModuleö.
An article containing this HTML code
img srcenvelope.png titleemailaddress.com
Should appear like that

But the cloak plugin corrupts the output
img srcenvelope.png titlespan idcloakThis email address is being protected ...spanscript type'textjavascript'...script
Which produce that result

The same goes for an input element
input typetext value placeholderemailaddress.com
Which should appear like that

but it becomes like that instead
input typetext value placeholderspan idcloakThis email address is being protected ...spanscript type'textjavascript'...script

The cause
HTML attributes like titleö...ö don't allow any further nested HTML tags nor JavaScripts inside them.
Summary of Changes

The negative lookahead '' added to the regular expression is used to exclude occurrences within HTML tags.
Added exhaustive comments to explain the reason behind the lookahead.

Testing Instructions
I have tested the new regular expression with a lot of sample text and it behaves good to me but everyone interested is encouraged to test further we know how tricky regular expressions can be.";1
425;Detect Google Search App GSA NOT as Safari;"Google Search App on IPad or IPhone others throws Can't Identify Browser Version because is identfiied as Safari.
So 'function identifyBrowserVersion' in 'browser.php' fails because it tries to identify the BrowserVersion via a RegEx that uses Version as identifier but not GSA.
See my comments concerning user agent strings at 
httpjoomlacode.orggfprojectjoomlatrackeractionTrackerItemEdittrackeritemid";Remove the notice from JBrowser;"Abstract
Each time Joomla cannot detect a browser type a visible warning will appear in Front end. The issue tracker is filled with endless bug reports for all type of obscure browsers.

Proposed solution
I don't know any use for the logger notice that appears. So I propose to remove it completely.
Testing instructions
Try to change your user agent with a browser extension or something to something obscure. The warning should appear. Keep on trying till you find one.
Apply patch.
See that the notice is gone.";1
426;Missing colspan;"Check administratorindex.phpoptioncomlanguagesviewlanguages. There is missing a colspan in the table footer.
This PR changes colspan to colspan

Tracker httpjoomlacode.orggfprojectjoomlatrackeractionTrackerItemEdittrackeritemid";Fix the bottom border.;"JC
httpjoomlacode.orggfprojectjoomlatrackeractionTrackerItemEdittrackeritemidstart";1
427;Fix for email addresses validation rules;"Description
This fixes regular expressions used for email validation see 
Joomla didn't allow the ' char in user email addresses because JMailHelperisEmailAddress and JFormRuleEmailtest used Æ Unicode Right single quotation mark instead of ' ASCII apostrophe x in their regexp.
According to RFC it is allowed to have apostrophes in email addresses as long as they are ASCII character x Irish email example o'sullivanexample.com.
Testing instructions
You can test this patch by trying to enter valid andor invalid email addresses in User Manager and in Contacts. In most cases anyway you will be actually testing JS validation PHP validation has been tested by unit test.
Only expected cases accepted by JS and rejected by PHP are those of these kinds
.userexample.com
user.example.com
user..nameexample.com

Additional Comments
Reference material for email addresses validation rules

httpstools.ietf.orghtmlrfc
httpsen.wikipedia.orgwikiEmailaddress";Fixed JMailHelperisEmailAddress to validate IPv addresses;"Fixed JMailHelperisEmailAddress to validate IPv addresses. Previously any numeric values were treated as valid domains for emails.

Steps to reproduce the issue
JMailHelperisEmailAddress'q'
Expected result
false
Actual result
true
System information as much as possible
Joomla .. OpenServer Apache . PHP . MS Windows 
Additional comments
The problem piece of code is librariesjoomlamailhelper.php
 No problem if the domain looks like an IP address ish
regex '.'
if pregmatchregex domain

return true

A bit better solution
regex '\d\d|\d|.\d\d|\d|.
\d\d|\d|.\d\d|\d|'
Source httpwww.mkyong.comregularexpressionshowtovalidateipaddresswithregularexpression";1
428;Proxy JApplicationWebClient to the framework class;This removes JApplicationWebClient in favour of the version found in the framework. It adds an alias similar to that used with JRegistry to keep bc. To test ensure that navigating your website works as expected web apps only;Remove duplicate code by aliasing JApplicationWebClient to Framework;"Pull Request for Issue JApplicationWebClient was not extend from nor aliased to Framework WebClient thus duplicate code
Summary of Changes

Remove duplicate code by aliasing JApplicationWebClient to the Framework
Removes unit test for JApplicationWebClientTest.php With the removal of JApplicationWebClient in favor of the version found in the framework this unit test is no longer needed since the framework is already unit tested.

Testing Instructions

Add patch to .. or staging httpsdocs.joomla.orgTestingJoomlapatches
Navigate to the backend and frontend with one or more browsersdevices and be sure nothing is broken web apps only
Report your result back here with the JTracker Application";1
429;hathor postinstall typos;Pull Request for typos introduced in Issue;Consistency with the use of Isis instead of isis;"Summary of Changes
consistency with the use of Isis instead of isis
Testing Instructions
Easy fix on code review";1
430;RECAPTCHAAPISERVER URL no longer accessible;"Since yesterday httpapi.recaptcha.net is not accessible. It must be replaced by httpwww.google.comrecaptchaapi
Relevant bug
httpjoomlacode.orggfprojectjoomlatrackeractionTrackerItemEdittrackeritemidstart";Fixed broken recaptcha urls;No description provided.;1
431;Permissions status not translated on the fly Solving;"Pull Request for Issue 
Summary of Changes
Added the js ini constants
Testing Instructions
On staging install at least one language more than enGB.
Switch to this language in backend.
Edit the permissions Global or any component.
Select a new setting for a user group.
Before patch the Calculated Setting will be displayed as harcoded English Allowed or Not Allowed. One has to save to get the correct translation in the language used.
After patch the Calculated setting will display in the language of the UI.";Remove hard coded strings on permissions;"Test instructions

Install other language set new language on backend
go to a component click on options
Change a permission

Before patch
English string
After patch
Your language string
ps there was a issue for it but I couldn't find it anymore";1
432;imp Adding a dropdown with flags display in language switcher;"Redo because of a conflict in 
This improvement adds a new parameter to let display a bootstrap dropdown with flags and language names instead of the older dropdown. It is BC. Test on Protostar. Beez is untouched by adding an override.
It was requested by many users on the forums.
Until now choosing dropdown display we would get


New parameters in the language Switcher
Use simple dropdown as in the past

Yes to Flags for dropdown

Do not use dropdown as well as do not use Image flags

No to dropdown and yes to Image flags


Results of the new type of dropdown in frontend other types are unchanged


if choosing Yes to decrease line height

andrepereiradasilva
dgt
richard";Module language switcher showon options;"Summary of Changes
Use the showon functionality now available in forms to simplifyreduce the options displayed in the module options note that this also removes some text that explains not so use things etc
Testing Instructions
This is only a cosmetic change
Go to the module and try all the options on that page to ensure that the new showhide functionality makes sense.";1
433;Fixed calendar field hint;"The code to display hint property in calendar fields is there but it doesn't work.
Testing Instructions
Create a new or modify an existing calendar field in the frontend or backend and ensure to assign it a hint property as shown in the picture
I have temporary modified the calendar fields already present in Article Manager to save me a lot of time.

Before the patch the hint does not show.

After the patch the hint is there.";Calendar placeholder doesn't work;"Pull Request for Issue .
Summary of Changes
placeholder attribute doesn't work on new calendar field due to missing echo.
Testing Instructions
Call JHtml'calendar' with a 'placeholder' 'test' in the attribs array eg
JHtml'calendar' value name id format 'Ymd' attribs array'placeholder' 'test'
Expected result
placeholdertest in the HTML output.
Actual result
No placeholder attribute shown in HTML.
Documentation Changes Required
None";1
434;comfields Define the batch commands;"Pull Request for Issue .
Summary of Changes
Removes the notice from the issue.
Testing Instructions

Create some field groups
Create a Content field.
Select this Content field and Batch copy or move

Documentation Changes Required";Refactoring comfields to no longer use comcategories;"This is a bigger refactoring of comfields to get rid of the use of comcategories for its field groups fieldset feature.
During the rewrite I found also several code pieces which are unused or were copypasted from comcategories but don't make sense in the context of fields.
I also replaced the useage of some deprecated methods.
So forgive me that it become a bit bigger than initially planned 
Summary of Changes

Main thing is that the field groups are now handled in comfields using own views.
ACL should work now at least better than before.

Testing Instructions

Make sure managing the fields and groups works
Also test that the fields appear as expected. You don't have to test the indivual field types as I haven't changed anything there.
Please also test ACL. It should inherit permissions from component to field group to field. I haven't had the time yet to test that myself but in theory the code should work.

Documentation Changes Required
If there already is documentation how to implement comfields into an extension that will need to be adjusted.

Needs a helper method which returns possible contexts.
Needs added permission sections in the access.xml file.";1
435;Remove from extensions useless columns systemdata and customdata;"Pull Request for Issue 
Summary of Changes
Remove columns from extensions table and all files.

Fix template copy functionality.
Fix postgresql installation some plugins in extension table has missing column value.
Set correct PK value for template style protostar in mysql
Set correct auto increment value for postgresql copy template error

Testing Instructions


Try to copy template style for protostar before patch it does not work.


a. Install dev. joomla branch and then apply patch and go to database fix button. Mentioned columns should be deleted from databases.
b. Test installation of patched Joomla on mysql andor postgresql.


Try to copy template style again now it should work


Expected result
Template copy works.
Actual result
Error.
Documentation Changes Required
Maybe. Two columns has been deleted from extensions table.";j Default customdata and systemdata to an empty string;"Summary of Changes
Discovery is broken on Joomla becaus of an SQl error that customdata and systemdata don't have to be null.
Honestly I don't know what are this columns for but they must be initialized with some data as the installer defines them as not nullable. Either way we always write some data into the coumns for an extension or we allow null values. Somebody a clue what these columns are for
Testing Instructions

Install Joomla with the .dev branch.
Download the override plugin from httpsgithub.comDigitalPeakIncubatorplgsystemoverridearchivemaster.zip
Extract it to pluginssystem
In the back end got to Extensions Manage Discover
Click on the Discover button on the top

Expected result
The override plugin should appear in the list.
Actual result
The list is empty.
Documentation Changes Required
None as it is a bug.";1
436;Fixes initial comfields sql update file for mysql.;"Summary of Changes
Fixed two issues with the initial comfields sql update file for MySQL I don't have PostgreSQL or MSSQL so someone should probably look at possible constraints of those too.


Due to the length of the context field combined with the utfmb unicode default for the table it will not create the index. That is because it would surpass the max length of bytes for MySQL.
I changed the specific fields to utf so the max length of bytes is not surpassed.


TEXTBLOBS cannot have a default
Removed defaults for those in this specific file.


Testing Instructions
Run the sql file before the patch notice the errors.
Run the sql file after the patch notice the errors missing.
Documentation Changes Required
The issue with the max key length for mysql and maybe others should probably be noted in the docs.";Limit indexed column size to bytes for fields;"Pull Request for Issue 
Summary of Changes
Indexed column can not have more than bytes for mysql database.

shrink index to first chars for column context in fields fieldsgroups.
shrink index to first chars for column itemid in fieldsvalues
addsync unsigned to assetid and groupid which should have that.
add missing label for indexes in fieldsvalues

Testing Instructions
Installation should works as before.
It is enough to test installation without testing data.
How to emulate installation error.
Mysql . with old configuration has by default ROWFORMATCOMPACT.
To emulate that you have to replace text in installation sql file from
 ENGINEInnoDB
to
 ROWFORMATCOMPACT ENGINEInnoDB
for all lines.
Expected result
No errors on mysql . with old configuration.
Actual result
Error on installation.
Documentation Changes Required
None";1
437;Resolves Issue;"This resolve an issue with TinyMCE and the use of width and height on JForm editor field element.
How to test
Before applying the patch try to resize the TinyMCE editor via a JForm xml field definition. Add width and height attributes to the editor definition in the xml file
 field
 namedefaultdescription
 typeeditor
 buttonstrue
 labelCONTENTTEXTLABEL
 descriptionCONTENTTEXTDESC
 classinputbox
 filterJComponentHelperfilterText
 assetidcomcontent
 width
 heightpx
 
then open the form to confirm that the editor widthheight has not changed.
After applying the patch confirm that the width and height do change.";Height of a form field type editor the Tiny MCE plugin overrides custom settings;"The XML code I have in my extensions for the form field type editor did not use my defined height of px it always shows the standard height of px 

I think that this is a bug in the Tiny MCE plugin. This plugin sets px as height in the setting parameters and that overrides the height definition in the custom XML forms.
How to test

Open Component | Newsfeed| New and check that the height of the editor is px.
Set the value of a custom form field with the type editor for the height to px. For example Open the file JOOMLA\administrator\components\comnewsfeeds\models\forms\newsfeed.xml and set in a height for the editor of px.
Open Extension | Plugin | Tiny MCE Advanced and delete the value for the htmlheight
Open again Component | Newsfeed| New and see that the height of the editor is still px. I would expect that this height is now px
Check the patch
After you completed steps to apply the patch.
Again open Component | Newsfeed| New and see that the height of the editor is now px.
Open after that the settings of other Joomla core components and check that the height of this are still px.";1
438;Missing form field attribute maxlength.;"This patch adds the attribute maxlength to the form field textarea.
JoomlaCode Tracker Page
httpjoomlacode.orggfprojectjoomlatrackeractionTrackerItemEdittrackeritemid";Support for attribute maxlength. Form field textarea. Issue;"Issue 
The maxlength attribute specifies the maximum length in characters of a text area. The maxlength attribute is new for the textarea tag in HTML.
Test

Edit administratorcomponentscomconfigmodelformapplication.xml
Add attribute
maxlength
to field MetaDesc or any other field of type textarea.
Go to administratorindex.phpoptioncomconfig Site
Enter text into field Site Meta Description.
No limitation concerning length.
Apply patch. Try again. characters maximum are possible.";1
439;Update Codemirror to .;"Changelog for Codemirror . can be found here
codemirrorCodeMirror.......";CodeMirror .;"CodeMirror got an update so here's the CodeMirror update.
Release notes httpcodemirror.netdocreleases.html";1
440;Feature jquery keepalive;"Change the keepalive function to use jQuery instead of MooTools.
Tracker httpjoomlacode.orggfprojectjoomlatrackeractionTrackerItemEdittrackeritemidstart";Remove Mootools Behavior Keepalive without any library dependency.;"Keepalive without any library dependency.
I have tried to shrink the code as short as possible.
Should work from IE and all other modern Browsers.";1
441;fix Bug in setting startOffset to tabs using localStorage all the time;"To reproduce the issue
Do this before applyting patch
Add the following code in any joomla template file for example anycomponentviewstmpldefault.php
 We are setting start offset to and setting browser storage to false
options array
 'startOffset' 
 'useCookie' false


echo JHtml'tabs.start' 'pane' options

echo JHtml'tabs.panel' Tab 'tab'

 echo Tab content

echo JHtml'tabs.panel' 'Tab' 'tab'

 echo Tab content

echo JHtml'tabs.panel' 'Tab' 'tab'

 echo Tab content

echo JHtml'tabs.panel' 'Tab' 'tab'

 echo Tab content
echo JHtml'tabs.end'
Ideally you should have open Tab as we have set offset to . Now if you have Tab as selected then select Tab and simply refresh the page. We have disabled the broweser storage it means Tab should be selected. But it's not.
Reason
httpsgithub.comjoomlajoomlacmsblobstagingmediasystemjstabs.jsL this line of code is expecting boolean but when you will check in cosole with code
console.logtypeof this.options.useStorage
it will show string and because of that condition in above file always become true.
Test Confirm fix
Apply this patch and confirm with enabling or disabling browser storage.";Fixed tabs ignoring useCookie param;"Not sure why they were strings before. They're assumed to be booleans later on when they're used in JS at this line httpsgithub.comjoomlajoomlacmsblobstagingmediasystemjstabs.jsL
Reason for not removing the true and false values since they're redundant joomlacodingstandards
Steps to reproduce

Create tabs using something like this echo JHtml'tabs.start' 'signInPane' array'startOffset' 'useCookie' false and anything else that's necessary to create the rest of the tabs pane.
Visit the tabs on the frontend.

Expected result
Have the rd tab because of zero indexing be open. And upon selecting another tab and refreshing have the rd tab still open and not the last active tab.";1
442;error fix;"Pull Request for Issue .
Summary of Changes
Testing Instructions
Expected result
Actual result
Documentation Changes Required";Joomla . Fixing fatal error in admin template;This should be selfexplanatory;1
443;Added safemode ini setting compatibility check before setting incompati...;"Added safemode ini setting compatibility check before setting incompatible curl options.
See httpjoomlacode.orggfprojectjoomlatrackeractionTrackerItemEdittrackeritemid";Check for safemode or openbasedir in the cURL adapter;"Certain environments with PHP's safemode or openbasedir options set can cause errors with the cURL adapter. Users will get a message similar to Warning curlsetoptarray CURLOPTFOLLOWLOCATION cannot be activated when an openbasedir is set in librariesjoomlahttptransportcurl.php on line .
Edit Tracker httpjoomlacode.orggfprojectjoomlatrackeractionTrackerItemEdittrackeritemid";1
444;Very slow of JavaScript performance in Isis...;"previous pull 
I made some updates based on Bakual idea about apply chosen only for .advancedSelect
so here I removed JHtml'formbehavior.chosen' 'select' from all tmpl and added options to the template for allow to enabledisable JHtml'formbehavior.chosen' ... that will work only for select with class .advancedSelect
and I made new pull because previous have conflicts....
Links

original pull 
 Very slow of JavaScript performance in Isis in Opera
chosen.js is the cause of the low backend performance in google group";Missing CSS File at the Updater choosen.css;"Tracker 
httpjoomlacode.orggfprojectjoomlatrackeractionTrackerItemEdittrackeritemidstart";1
